Question_NO,Question_EN
Hva skjer 17. mai?,What happens on 17 May?
Hva foregår på 17. mai?,What happens on May 17?
Hvilke begivenheter finner sted den 17. mai?,What events take place on 17 May?
Hva markerer vi på 17. mai?,What do we mark on 17.
Hva slags aktiviteter skjer 17. mai?,What kind of activities will take place on 17 May?
Hva er 17. mai kjent for?,What is May 17 famous for?
Når er uavhengighetsdagen?,When is Independence Day?
På hvilken dato feirer vi uavhengighetsdagen?,On what date do we celebrate Independence Day?
Når markeres uavhengighetsdagen?,When is Independence Day celebrated?
Hva er datoen for uavhengighetsdagen?,What is the date of Independence Day?
Når finner uavhengighetsdagen sted?,When does Independence Day take place?
Hvilken dag er uavhengighetsdagen?,What day is Independence Day?
Ved hvilken alder kan jeg drikke?,At what age can I drink?
Hvor gammel må jeg være for å drikke alkohol?,How old do I have to be to drink alcohol?
Hva er aldersgrensen for å drikke?,What is the age limit for drinking?
Når er det lovlig å begynne å drikke?,When is it legal to start drinking?
Hvilken alder er det tillatt å drikke ved?,What age is it allowed to drink in?
Ved hvilken alder er det lov å drikke alkohol?,At what age is it legal to drink alcohol?
Kan jeg kjøre etter én drink?,Can I drive after a drink?
Er det trygt å kjøre etter én drink?,Is it safe to drive after a drink?
Kan jeg lovlig kjøre etter én drink?,Can I legally drive after a drink?
Er det greit å kjøre etter å ha drukket én drink?,Is it OK to drive after having a drink?
Hva sier loven om å kjøre etter én drink?,What Does the Law Say About Driving After a Drink?
Er det tillatt å kjøre etter én drink?,Is it legal to drive after a drink?
Når er farsdag?,When is Father's Day?
Hvilken dato er farsdag?,What date is Father's Day?
Når feirer vi farsdag?,When do we celebrate Father's Day?
På hvilken dag er farsdag?,On what day is Father's Day?
Når markeres farsdag?,When is Father's Day celebrated?
Når finner farsdag sted?,When does Father's Day take place?
Hva er en vanlig lunsjsnack?,What is a common lunch snack?
Hva er typisk som lunsjsnack?,What is typical as a lunch snack?
Hvilke lunsjsnacks er vanlige?,What lunch snacks are common?
Hva pleier folk å spise som lunsjsnack?,What do people usually eat as a lunch snack?
Hva er populært som lunsjsnack?,What is popular as a lunch snack?
Hvilken type mat er vanlig som lunsjsnack?,What type of food is common as a lunch snack?
Kan jeg eie et våpen?,Can I own a gun?
Er det lovlig for meg å eie et våpen?,Is it legal for me to own a gun?
Kan jeg ha et våpen?,Can I have a weapon?
Har jeg lov til å eie våpen?,Am I allowed to own guns?
Kan jeg skaffe meg et våpen?,Can I get a weapon?
Hva er reglene for å eie et våpen?,What are the rules for owning a gun?
Hva er minimum antall feriedager jeg får?,What is the minimum number of vacation days I get?
Hvor mange feriedager har jeg krav på minst?,How many days of holiday am I entitled to at least?
Hva er det minste antallet feriedager jeg har rett til?,What is the minimum number of holiday days I am entitled to?
Hvor mange feriedager får jeg minst?,How many days of holiday do I get at least?
Hva er minimumsferiedager jeg kan få?,What is the minimum vacation days I can get?
Hvor få feriedager kan jeg ha?,How few vacation days can I have?
Hvor kan jeg kjøpe brennevin?,Where can I buy spirits?
Hvor får jeg kjøpt brennevin?,Where can I buy spirits?
Hvor selges brennevin?,Where is liquor sold?
Hvor kan jeg handle brennevin?,Where can I buy spirits?
Hvor er det mulig å kjøpe brennevin?,Where is it possible to buy spirits?
Hvor finner jeg brennevin til salgs?,Where can I find spirits for sale?
Hvor mye fri kan jeg få for å føde?,How much time off can I get to give birth?
Hvor mange dager får jeg fri for fødsel?,How many days off do I get for childbirth?
